station_name,available_bikes
Guntramsdorf / Hst. Lokalbahn,3
Gumpoldskirchen / Bahnhof,0
Guntramsdorf / Hst. Neu Guntramsdorf,1
Baden / Bahnhof ,0
Baden / Tourismusinfo Römertherme,0
Pfaffstätten / Bahnhof ,0
Baden / BH,0
Kottingbrunn / Raiba - EKZ,0
Guntramsdorf / Bahnhof Thallern,2
Hainburg / Hauptplatz,0
Bad Deutschaltenburg / Bahnhof,0
Bad Deutschaltenburg / Museum Carnuntinum,0
Petronell - Carnuntum / Bahnhof,0
Petronell - Carnuntum / Archäologischer Park Carnuntum,0
Wr. Neustadt / Hauptbahnhof,28
Wr. Neustadt / Hst.Civitas Nova,4
Wr. Neustadt / Hst. Nord,4
Wr. Neustadt / Studentenwohnheim,4
Wr. Neustadt / Fachhochschule,3
Wr. Neustadt / Hauptplatz,2
Wr. Neustadt / Fischapark Dreipappelstrasse,6
Wr. Neustadt / Theatergarage / Fußgängerzone,0
Wr. Neustadt / Museum St. Peter an der Sperr,0
Katzelsdorf / Zinnfigurenwelt,0
Katzelsdorf / Bahnhof,0
Wr. Neustadt / Landesklinikum,0
Wr. Neustadt / Merkurcity,3
Wr. Neustadt / Kasematten,1
Wr. Neustadt / Park & Drive Ost,5
Wr. Neustadt / FH City Campus - Bibliothek im Zentrum,0
Wr. Neustadt / Robert Stolz Siedlung,3
Bahnhof Wr. Neustadt,1
Herzogenburg / Bahnhof,1
Herzogenburg / Rathausplatz,0
Marchegg / Hauptplatz,0
Marchegg / Bahnhof,0
Engelhartstetten / Schloss Hof,0
Klosterneuburg / Kierling / Bahnhof,0
Klosterneuburg / Weidling / Bahnhof,1
Korneuburg / Bahnhof,5
Leobendorf / Bahnhof,3
Stockerau / Bahnhof,0
Korneuburg / BH Korneuburg,3
Korneuburg / Hauptplatz,4
Stockerau / Rathausplatz,0
Stockerau / Kaiserrast,0
Leobendorf / Zentrum,4
Spillern / Bahnhof,0
Spillern / Jugendtreff,0
St. Andrä Wördern / Marienhof,0
St. Andrä Wördern / Bahnhof,0
St. Andrä Wördern / BHF Greifenstein - Altenberg,0
Stammersdorf / Bahnhofsplatz Erlebnisstop 2,0
Zehn vor Wien / Strebersdorferhof,0
Korneuburg / Dabschkaserne,3
Korneuburg / Florian Berndl Bad,2
Klosterneuburg / IST Austria,0
Korneuburg / BP K01 - Halle A,3
Korneuburg / BP K01 - Halle G,4
Korneuburg / BP K01 - Halle I,4
Laa / Bahnhof,0
Laa / Stadtplatz - Rathaus,0
Schwechat / Bahnhof,0
Leopoldsdorf / Gemeindeamt,0
Leopoldsdorf / Rustenfeld,0
Fischamend / BHF,0
Schwechat / Concorde Businesspark,0
Schwechat / Office Park 1,0
Schwechat / HCW Handling Center West,0
Hollabrunn / Bahnhof,0
Hollabrunn / KAUF ein- Fachzentrum,0
Purkersdorf / Zentrum Hst.,0
Purkersdorf / Sanatorium Hst.,0
Purkersdorf / Bahnhof Hütteldorf,0
Gablitz / Park & Ride,0
Purkersdorf / BHF Unterpurkersdorf,0
Groß Enzersdorf / Busbahnhof,0
Groß Enzersdorf / Auvorstadt,0
Groß Enzersdorf / Sachsengang,0
Amstetten / Bahnhof,0
Amstetten / Landesklinikum,0
Amstetten / Hauptplatz,0
Amstetten / Landesberufsschule WKNÖ,0
Amstetten / BHF Mauer,0
Amstetten / BHF Greinsfurth,0
Amstetten / Landesklinikum Mauer,0
Caritas Wohnen,4
Bahnhof Sursee,0
Stadtverwaltung,5
Münsterplatz,2
Märtplatz,6
Schulhaus Kotten / Kottenmatte 2,3
Mariazell,3
Garage Heller / Wassergrabe 9,3
Haselmatte 2C,0
Metro / Moosgasse 1,2
Sandgruebestrasse,3
Kantonsspital,1
Schenkon / Zellfeld,1
Schenkon / Gemeindehaus,3
Schenkon / Restaurant OX'n,3
Geuensee / altes Schulhaus,3
Geuensee / Schulhaus Kornmatte,3
Geuensee / Gasthaus St. Niklaus,3
Knutwil / Bahnhof St. Erhard,3
Knutwil / Turnhalle St. Erhard,3
Knutwil / Gemeindehaus,3
Oberkirch / Restaurant goldener Wagen,5
Oberkirch / Campus Sursee,3
Oberkirch / Dorf,3
Mauensee / Holzacherstrasse,3
AWB Brändi / Münsterstrasse 20,5
Schulhaus St. Martin / St. Martinsweg,3
Schulhaus Neufeld 1 / Badstrasse 19,4
Mauensee / Schulhaus,3
Mauensee / Einfahrt Sonnenrain,3
Sappeurstrasse / Werkhof,3
Schulhaus Georgette,3
Oberkirch / CALIDA,4
"Mauensee / Camping Sursee, Waldheim",3
Pfarreizentrum / St.-Urban-Strasse,3
Oberkirch / Schulhaus Zentrum,3
BIKE 400187,1
BIKE 400096,1
BIKE 400095,1
BIKE 400129,1
BIKE 400146,1
BIKE 42559,1
BIKE 400103,1
BIKE 400140,1
Tourist-Information / Zentralstr. 5,7
Hotel Radisson / Inseliquai 12 ,4
Jugendherberge / Sedelstrasse 12,4
Verkehrshaus / Lidostrasse,4
"Emmen, Bahnhofstrasse 11 ",6
Inseliquai ,3
Ufschötti / Werftstrasse,3
Pilatusstrasse 1,2
Pilatusstr. 8 / Seidenhofstr.,6
Vögeligärtli / Morgartenstrasse,5
Habsburgerstr. 1a / Zentralstr.,8
Bundesplatz / Zentralstr. ,2
Habsburgerstrasse 26,7
Obergrundstrasse / Moosstrasse,6
Paulusplatz / Obergrundstrasse,2
Neustadtstrasse 44,2
Luzerner Theater / Hirschengraben,9
Kasernenplatz / Naturmuseum,1
Pilatusplatz / Hallwilerweg,4
Werkhofstrasse 20,5
Tribschenstrasse / Werkhofstrasse,3
Schönbühlcenter,5
Kriens / Mattenhof SBB,7
Allmend / Horwerstrasse 85,1
"Kriens, Gallusstrasse / Luzernerstrasse",0
Hauptpost / Bahnhofstrasse 1,15
Ruopigenplatz 1,4
Maihofstrasse / Maihofmatte,5
Maihofstrasse / Vallasterstrasse,2
St.Karlistrasse 3,2
Kantonspital Personalhaus 2 / Spitalstr.,0
Bruchstrasse / Schützenstrasse,12
Mühleplatz,10
Grendel,9
Matthäuskirche / Seehofstrasse,1
Bourbaki / Löwenplatz,2
Strandbad Lido,5
"Kriens, Bellpark / Luzernerstr.",0
Haldenstrasse 10,0
ewl / Industriestrasse 6,0
Schädrütistrasse / Würzenbach,5
"Kriens, Musik Hug / Arsenalstrasse 27",1
Obergrundstrasse / Eichhof,1
"Kriens, Luzernerstr. / St. Kupferhammer",0
Bundesplatz / Moosstrasse,1
Kantonalbank / Pilatusstr. 12,3
Nationalquai / Seebad,3
Weinberglistrasse  ,2
Bruchstrasse/Bruchstrasse 4,6
Stadtverwaltung / Winkelriedstrasse 14,1
Haldenstrasse 1 / Kurplatz,3
Schwanenplatz,6
Löwenplatz / Zürichstrasse,16
Südpol / Arsenalstrasse 28,1
Churchill Quai,1
"Kriens, Parkbad / Horwerstr.",1
Eisfeldstrasse 3,1
Schüür / Güterstrasse,6
Bleicherstrasse 10,6
Brünigstrasse 25,0
"VISIONAPARTMENTS, Neustadtstrasse 16",4
Neubad,4
KKL / Bahnhofplatz,3
MaiHof,5
Caritas Schweiz,3
Landenbergstrasse 36,5
SSBL / Rathausen,4
CKW / Rathausen,4
Spitalstrasse 93,8
Lindenstrasse,7
Alpenquai 42,2
Emmenbrücke / Bahnhof Süd,1
Pauluskirche / Moosmattstrasse 4 ,1
Klosterstrasse 12A,5
Neustadtstrasse 10,0
Zihlmattweg 29,1
Messe Allmend / Horwerstrasse,0
Hallenbad Allmend / Zihlmattweg 46,0
Nordpol/Reusszopfweg,2
Reussfähre/Sentimattstr. 10,3
Warteggstrasse 5,4
Franziskanerplatz,3
Schulhaus Säli/Pilatusstr. 59,3
"Emmen, Alp Betagtenzentrum",0
Molki / Reussbühl,3
CKW /Reussbühl,5
Emmenfeld Betagtenzentrum,4
"Sonnenplatz, Emmenbrücke",7
Emmen Center,7
Sentimatt / Dammstrasse,3
Business Hub Luzern / Reusseggstr. 9,4
"Kriens, Mikropole Mattenhof",2
"Kriens, Schulhaus Amlehn",1
Grossmatte / Luzernerstrasse 143,0
Velostation / Bahnhof Luzern,2
"Emmen, Hochschule Luzern - Design&Kunst  / Nylsuisseplatz 1",2
"Emmen, Waldibrücke",3
Himmelreich 3 / Claridenstrasse,5
Emmi AG / Seetalstrasse 200,4
XUND / Spitalstrasse,2
Geissenstein EGB / Waldweg 1,0
"Emmen, Josef Meyer AG / Seetalstrasse 185",3
Bahnhof Rothenburg / Station Ost,4
"Kriens, Matteo / Am Mattenhof 2b",3
Gasthaus Schlüssel,3
Schulhaus Matt,5
Schulhaus Grossmatt,3
Hotel Roggerli,3
Schulhaus Dorf,3
Schiffstation,3
Bahnhof Hergiswil Dorf,2
Glasi-Restaurant Adler,3
Gemeindehaus,3
Bahnhof Stans Süd,1
Kantonsspital / Ennetmooserstrasse 19,3
Länderpark / Bitzistrasse 2,6
Stanserhornbahn / Stansstaderstrasse 19,2
Sporthalle Eichli,4
Schulzentrum Turmatt / Bluemattstrasse 1,6
Schulzentrum Tellenmatt / Tellenmattstrasse 5,2
Kollegium St. Fidelis / Mürgstrasse 20,2
Kantonalbank / Stansstaderstrasse 54,2
Bushaltestelle Mettenweg Stans,0
Bushaltestelle Hansmatt Stans,1
Breitenhaus / Buochserstrasse 1,1
Trafostation Rotzberg / Rotzhalde 1,3
Achermann Sport / Engelbergstrasse 37A,3
Hotel Engel / Dorfplatz 1,2
Frey-Naepflin-Stiftung / Hansmatt 30,4
Kirche / Dorfplatz Stans,1
Riedenmatt 1 Raiffeisen,4
Hotel Krone/Sternen / Buochs,3
nidair Flugfeld / Ennetbürgen,5
Restaurant Schlüssel / Ennetbürgen,5
TCS Camping / Buochs,3
Rigiblick / Schiffstation / Buochs,0
Hotel Seerausch / Beckenried,4
Boutique-Hotel Schlüssel / Beckenried,3
Hotel Nidwaldnerhof / Beckenried,3
Schiffstation Beckenried,3
Talstation Luftseilbahn Beckenried-Klewenalp,3
ROSEN Swiss / BDO / Obere Spichermatt 12,4
Rütenen / Rütenenstrasse Beckenried,3
"Neuseeland / Unterfeld, Buochs",3
Engelberger Druck AG / Oberstmühle 3,4
Bushaltestelle St. Josef Stans,1
Galgenried / Rotzlochstrasse 10,4
Bushaltestelle Spital Nidwalden,0
Gebäude Sust / Dorfplatz 1,3
Strandbad Stansstad,3
Katholische Kirche / Dorfstrasse 19,0
Bahnhof Stansstad Nord,1
Bahnhof Stansstad Seerosenstrasse ,5
Überbauung Seehof / Rotzbergstrasse 14,3
General-Guisan-Quai,1
Schiffstation Kehrsiten,4
Bürgenstock-Bahn,1
Überbauung Feld / Feld 6,4
Bahnhof / Gleis 1,4
"Horw, Station Zentrum",3
"Horw, Kantonsstr. / Winkelstr.",1
Kantonsstrasse / Kastanienbaumstrasse,0
Seefeld,3
HSLU - Technik & Architektur,4
Pilatusmarkt,1
Gemeindehausplatz,2
Bahnhof West,7
eawag / Seestrasse 79,4
Schulhaus Spitz / Bodenmattstrasse 8,3
Felmis / Kastanienbaumstrasse 90,0
Horwerhalle / Schulhausweg,2
Schiffstation Kastanienbaum / St. Niklausenstrasse 104,6
Parkplatz Winkel / Winkelstrasse 30,1
Ennethorw / Bushaltestelle ,5
Sarnen Bahnhofplatz,6
Wilen Dorf/Wilerstr.65,2
Bahnhof Sarnen BWZ,3
Dorfplatz/Rathhausgasse,3
Zivilstandsamt/Brünigstr. 180,3
Hafen/ Seestr.4,2
Seefeldpark/Seestr.20,4
JUKO Pavillion/Militärstr.3,2
Kantonsspital/ Spitalstr.,3
Kirchhofen/ Pfarrgässli 1,4
Gemeindehaus/Brünigstr.160,3
Lindenhof,3
MZA Ei,3
Bitzighofen/ Bitzighofenstr.9,2
Kägiswil/Dörflistr.,2
Sika/Industriestr. 26,3
Bahnhof Sarnen Nord,4
Gartenstrasse/Bahnhof Nord Sarnen,3
Marktplatz/Marktstr.,3
Coop,3
Foribach,2
Velowerkstatt Kerns,3
Bahnhof Alpnach Dorf/Bahnhofplatz,4
Bahnhof Alpnachstad/Bahnhofplatz,1
Leister AG / Cockpit,3
Leister Technologies AG,3
Axetris AG,3
Bahnhof Sachseln / Bahnhofstrasse,4
Bahnhof Wolfenschiessen,7
Diegisbalm,1
Bielen/ Geissmattli 2,1
Rugisbalm/ Otteneny-Mettlen,3
Dörfli/ Dörfli 4,4
Talstation LDN / Talstation LDN 1,2
Gemeindehaus/Schulhaustr. 19,7
Kaserne/Kasernenstr. 2,3
Müliplatz,5
Bahnhof Dallenwil,4
Gemeindehaus/Stanserstr. 2,4
St. Jakob/Stanserstr. ,2
Dorfplatz,4
Bahnhof Zentrum,2
Lerchenplatz,4
Bahnhof Meggen,2
Gottlieben,1
AWB Brändi / An der Ron 10,2
Bahnhof Hochdorf,2
Urswil / Parkplatz Huttli,3
St. Klemens / Kaspar-Koppstrasse 86,2
Musik Hug / Luzernerstrasse 45,4
Schmiedhof / Luzernerstrasse 21,8
Wydenhof / Zentralstrasse 12,3
Ladengasse / Zentralstrasse 16,3
Hofmatt / Gartenweg,3
Bahnhof Süd / Riedmattstrasse,3
Mall of Switzerland / Bushaltestelle Fildern,8
Risch / Rischstrasse 34,3
Halte (Ueli-Hof) / Industriestrasse 1,4
Weichle / Zugerstrasse 5,3
Schindler / Zugerstrasse 13,1
Mall of Switzerland / Eingang Arztpraxis,4
Schulhaus Höfli / Oderdierikonerstrasse 25,4
Bahnhof Gisikon-Root,2
Röseligarten,3
Restaurant Rössli Hü,2
Schulhaus Oberfeld,2
D4 Business Village,3
Perlen Bushaltestelle Fabrik,3
Renergia Zentralschweiz AG,2
Naschgarten,4
GGZ@Work / Industriestr. 22,0
Podium 41 / Chamerstr. 41,0
Bossard AG / Steinhauserstrasse 70,4
Loreto / Löberenstrasse 40,0
V-ZUG / Industriestrasse,0
V-ZUG / ZUGORAMA,0
V-ZUG / Oberallmendstrasse,0
GGZ@Work Recycling / Altgasse 46b,4
Secondhand Laden / Dorfstasse 5a,3
BIKE 42535,1
BIKE 39934,1
BIKE 42518,1
BIKE 42508,1
BIKE 42545,1
BIKE 39907,1
BIKE 42502,1
BIKE 39909,1
BIKE 42513,1
BIKE 39933,1
BIKE 42528,1
BIKE 39906,1
BIKE 42532,1
BIKE 42533,1
BIKE 39942,1
BIKE 42526,1
BIKE 42530,1
BIKE 42536,1
BIKE 42520,1
BIKE 42521,1
BIKE 42537,1
BIKE 42527,1
BIKE 39920,1
BIKE 42525,1
BIKE 39913,1
BIKE 42516,1
BIKE 42524,1
BIKE 39926,1
BIKE 39925,1
BIKE 39921,1
BIKE 42539,1
BIKE 39904,1
BIKE 42529,1
BIKE 42509,1
BIKE 39910,1
BIKE 42523,1
BIKE 42522,1
Bahnhof Nottwil,2
Schulhaus Nottwil  ,3
Zentrum Eymatt Nottwil,3
Areal SPZ Bushaltestelle,2
Areal SPZ GZI Gebäude B,3
Areal SPZ Sportplatz - Eingang Orthotec,2
BIKE 400111,1
BIKE 400195,1
"Radisson Blu Hotel Latvija, Elizabetes iela 55",0
Valnu/ Kalku ielas krustojums,0
Elizabetes/ Pulkveza Brieza ielas krustojums,0
"Maxima XXX, Saharova iela 20a",0
"Radisson Blu Daugava Hotel, Kugu iela 24",0
G.Astras un Dzelzavas ielu krustojums,0
Tallinas/ Miera ielas krustojums,0
"Kongresu nams, Krisjana Valdemara iela 5",0
"Agenskalna tirgus, Nometnu 64",0
Kalnciema/ Slokas ielas krustojums,0
VEF mobilitātes punkts,0
"i/c Olimpia, Azenes iela 5",0
Rātslaukums,0
Brīvības un Murjāņu ielas krustojums,0
Sporta un Grostonas ielu krustojums,0
Pērnavas un Kr. Barona ielu krustojums,0
Business Garden,0
Stacijas laukums,0
"Dzirciems, Dzirciema ielas un Jūrmalas gatves krustojums",0
Mežaparks,0
Teika,0
"Maxima XX, Rusova iela 1",0
Dzirnavu/ Zaļās ielas krustojums,0
"Bērnu pasaule, K.Barona/ Matīsa ielas krustojums",0
Brasa,0
LIDL birojs,0
TC Minsk,0
T/C Akropole,0
TC Gaiļezers,0
TC Domina,0
MAXIMA XXX Deglava iela 67,0
Dubultu stacija,0
"Majoru stacija,  Lienes / Omnibusa ielas krustojums",0
"Dzintaru koncertzāle, Turaidas iela 1, Dzintari",0
"Bulduri, Vienības un Bulduru prospektu krustojums",0
Maxima XX Kauguri,0
BIKE 57419,1
Plac Dominikański (Galeria Dominikańska),8
"Dworzec Główny, południe",2
Rynek,9
Dworzec Główny ,12
Nowowiejska / Jedności Narodowej,3
Legnicka / Wejherowska,5
Rondo Reagana,1
Pereca / Grabiszyńska,3
Powstańcow Śląskich / Aleja Hallera,3
Grabiszyńska / Aleja Hallera,15
Szczęśliwa (Sky Tower),1
Śrubowa / Strzegomska,1
Na Grobli (PWr - Geocentrum),1
Lotnicza / Na Ostatnim Groszu,10
Dyrekcyjna / Borowska (Wroclavia),2
Kamienna / Borowska (Aquapark),4
Wyszyńskiego / Szczytnicka,2
Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),1
Borowska (Uniw. Szpital Kliniczny),4
Legnicka (Park Magnolia),3
Kurkowa / Dubois,4
Plac Powstańców Śląskich,2
Wróblewskiego (ZOO),0
Ślężna / Aleja Wiśniowa,0
Tyrmanda / Mińska,3
Janiszewskiego (PWr),3
