station_name,available_bikes
St. Pölten / Haus 14 - Landhaus,"[5, 5, 5, 5, 5, 5, 5, 5]"
St. Pölten / Haus 16 - Landhaus,"[2, 2, 2, 2, 2, 2, 2, 2]"
St. Pölten / WIFI - NDU,"[8, 8, 8, 8, 8, 8, 8, 8]"
St. Pölten / Fachhochschule,"[6, 6, 6, 6, 6, 6, 6, 6]"
St. Pölten / SPORT.ZENTRUM.Niederösterreich,"[11, 11, 11, 11, 11, 11, 11, 11]"
St. Pölten / Emmausgemeinschaft Viehofen,"[5, 5, 5, 5, 5, 5, 5, 5]"
St. Pölten / NÖ Landesgesundheitsagentur ,"[3, 3, 3, 3, 3, 3, 3, 3]"
St. Pölten / AK Platz,"[1, 1, 1, 1, 1, 1, 1, 1]"
St. Pölten / Campus Domus,"[11, 12, 12, 12, 12, 12, 12, 12]"
St. Pölten / Alpenbahnhof NÖVOG,"[3, 3, 3, 3, 3, 3, 3, 3]"
St. Pölten / Werk 3100 - Haus 56,"[1, 1, 1, 1, 1, 1, 1, 1]"
St. Pölten / citysplash Freibad,"[1, 1, 1, 1, 1, 1, 1, 1]"
St. Pölten / Unterwagramer Str. / VS Wagram,"[10, 10, 10, 10, 10, 10, 10, 10]"
St. Pölten / VAZ,"[3, 3, 3, 3, 3, 3, 3, 3]"
St. Pölten / Zwetzbachermühle,"[8, 8, 8, 8, 8, 8, 8, 8]"
St. Pölten / Ratzersdorfersee,"[10, 10, 10, 10, 10, 10, 10, 10]"
St. Pölten / Neugebäudeplatz,"[4, 4, 4, 4, 4, 4, 4, 4]"
St. Pölten / SPAR Zentrale,"[5, 5, 5, 5, 5, 5, 5, 5]"
BIKE 35876,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35818,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35789,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35864,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 34506,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35848,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35875,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35803,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35841,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 34548,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35907,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35887,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 34542,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35809,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35743,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35920,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35914,"[1, 1, 1, 1, 1, 1, 1, 1]"
Ma. Enzersdorf / Haltestelle,"[4, 4, 4, 4, 4, 4, 4, 4]"
Wiener Neudorf / HST Griesfeld,"[5, 5, 5, 5, 5, 5, 5, 5]"
Vösendorf / Schönbrunner Allee,"[4, 4, 4, 4, 4, 4, 4, 4]"
Vösendorf / Siebenhirten HST,"[2, 2, 2, 2, 2, 2, 2, 1]"
Wiener Neudorf / Haltestelle,"[5, 5, 5, 5, 5, 5, 5, 5]"
Mödling / Bahnhof,"[5, 5, 5, 5, 5, 5, 5, 5]"
Laxenburg / Franz-Josephs-Platz,"[3, 3, 3, 3, 3, 3, 3, 3]"
Mödling / Bike+Ride (Bach),"[1, 1, 1, 1, 1, 1, 1, 1]"
Mödling / Babenbergerhof,"[3, 3, 3, 3, 3, 3, 3, 1]"
Mödling / Stadtbad,"[2, 2, 2, 2, 2, 2, 2, 2]"
Mödling / Schrannenplatz,"[0, 0, 0, 0, 0, 0, 0, 0]"
Brunn / Campus 21,"[1, 1, 1, 1, 1, 1, 1, 1]"
Laxenburg / Schlosspark Haupteingang,"[2, 2, 2, 2, 2, 2, 2, 2]"
Ma. Enzersdorf / Franziskanerplatz,"[3, 3, 3, 3, 3, 3, 3, 3]"
Ma. Enzersdorf / Friedhof,"[4, 4, 4, 4, 4, 4, 4, 4]"
Ma. Enzersdorf / Theissplatz,"[7, 7, 7, 7, 7, 7, 7, 7]"
Ma. Enzersdorf / Gemeindeamt,"[3, 3, 3, 3, 3, 3, 3, 5]"
Vösendorf / Schloss,"[2, 2, 2, 2, 2, 2, 2, 2]"
Wiener Neudorf / Rathaus,"[4, 4, 4, 4, 4, 4, 4, 4]"
Wiener Neudorf / C.-Migazzi-Haus,"[3, 3, 3, 3, 3, 3, 3, 3]"
Wiener Neudorf / Reisenbauer Ring,"[5, 5, 5, 5, 5, 5, 5, 5]"
Brunn / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Biedermannsdorf / Jubiläumshalle,"[4, 4, 4, 3, 3, 3, 3, 3]"
Biedermannsdorf / Laxenburgerstraße /Ortstraße,"[2, 2, 2, 2, 2, 2, 2, 2]"
Perchtoldsdorf / Rodaun,"[0, 0, 0, 0, 0, 0, 0, 0]"
Perchtoldsdorf / Freizeitzentrum,"[1, 1, 1, 1, 2, 2, 2, 2]"
Perchtoldsdorf / Bahnhof,"[1, 1, 1, 1, 1, 1, 1, 1]"
Perchtoldsdorf / Marktplatz,"[4, 4, 4, 4, 4, 4, 4, 4]"
Vösendorf / Spitz,"[1, 1, 1, 1, 1, 1, 1, 1]"
Liesing / Bahnhof,"[1, 1, 1, 0, 0, 0, 0, 0]"
Mödling / WIFI,"[4, 4, 4, 4, 4, 4, 4, 4]"
Mödling / Josef-Deutsch-Platz,"[1, 1, 1, 1, 1, 1, 1, 1]"
Hinterbrühl / Hst. Höldrichsmühle,"[4, 4, 4, 4, 4, 4, 4, 4]"
Hinterbrühl / Parkstraße - Seegrotte,"[0, 0, 0, 0, 0, 0, 0, 0]"
Perchtoldsdorf / Kulturzentrum,"[3, 3, 3, 3, 3, 3, 3, 3]"
Liesing / Perfektastraße U6,"[6, 6, 6, 6, 6, 6, 6, 6]"
Mödling / Jordanfelsen,"[4, 4, 4, 4, 4, 4, 4, 4]"
Mödling / BH Mödling,"[4, 4, 4, 4, 4, 4, 4, 4]"
Hennersdorf / Gemeindeamt,"[3, 3, 3, 3, 3, 3, 3, 3]"
Hennersdorf / Bahnhof,"[3, 3, 3, 3, 3, 3, 3, 3]"
Mödling / Grutschgasse,"[2, 2, 2, 2, 2, 2, 2, 2]"
Wiener Neudorf / Schillerstraße 6-8,"[5, 5, 5, 5, 5, 5, 5, 5]"
BIKE 35721,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35713,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 34521,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 34572,"[1, 1, 1, 1, 1, 1, 1, 1]"
BIKE 35702,"[1, 1, 1, 1, 1, 1, 1, 1]"
Krems / Bahnhof ,"[6, 6, 6, 6, 6, 6, 6, 6]"
Krems / Nachtwächter Kreisverkehr,"[4, 4, 4, 4, 4, 4, 4, 4]"
Krems / Südtiroler Platz,"[6, 6, 6, 6, 6, 6, 6, 6]"
Krems / Landstraße,"[4, 4, 4, 4, 4, 4, 4, 4]"
Krems / Donaustation 24 ,"[4, 4, 4, 4, 4, 4, 4, 4]"
Krems / Kunstmeile Krems,"[4, 4, 4, 4, 4, 4, 4, 4]"
Krems / Campus Donau Uni Krems,"[3, 3, 3, 3, 3, 3, 3, 3]"
Mautern a. d. Donau Römerhalle / Tourismus Information,"[0, 0, 0, 0, 0, 0, 0, 0]"
Dürnstein / Donaustation 21 - Busparkplatz,"[0, 0, 0, 0, 0, 0, 0, 0]"
Dürnstein / BRANDNER Schiffahrt,"[0, 0, 0, 0, 0, 0, 0, 0]"
Dürnstein / P2 BHF ,"[0, 0, 0, 0, 0, 0, 0, 0]"
Unterloiben / Zentrum,"[0, 0, 0, 0, 0, 0, 0, 0]"
Rossatz -Arnsdorf / Feuerwehr Hofarnsdorf,"[0, 0, 0, 0, 0, 0, 0, 0]"
