time,station_name,bikes_available
2023-01-01 03:30:00,Breslauer Str.,2
2023-01-01 03:30:00,Altenessen Bahnhof,8
2023-01-01 03:30:00,Altenessen Mitte,8
2023-01-01 03:30:00,Frohnhauser Platz,3
2023-01-01 03:30:00,Gervinusstraße,5
2023-01-01 03:30:00,Versorgungsamt,6
2023-01-01 03:30:00,RVR,2
2023-01-01 03:30:00,Karlsplatz,4
2023-01-01 03:30:00,M1 - Tenderweg,3
2023-01-01 03:30:00,Röntgenstr.,6
2023-01-01 03:30:00,Universität,28
2023-01-01 03:30:00,Vereinstr.,9
2023-01-01 03:30:00,Mobilstation Parkfriedhof,6
2023-01-01 03:30:00,Huttropstraße,0
2023-01-01 03:30:00,Isenbergstr.,2
2023-01-01 03:30:00,Martinstr.,0
2023-01-01 03:30:00,Girardethaus,4
2023-01-01 03:30:00,Mobilstation Florastraße,7
2023-01-01 03:30:00,EVAG-Betriebshof Mitte,12
2023-01-01 03:30:00,I. Dellbrügge / Kettwiger Str.,2
2023-01-01 03:30:00,Ruhrallee,5
2023-01-01 03:30:00,EVAG-Betriebshof Schweriner Str.,1
2023-01-01 03:30:00,Klarastraße,2
2023-01-01 03:30:00,Rüttenscheider Platz,2
2023-01-01 03:30:00,Mobilstation Kronprinzenstrasse,0
2023-01-01 03:30:00,Westviertel,13
2023-01-01 03:30:00,Rheinischer Platz,5
2023-01-01 03:30:00,Univiertel,6
2023-01-01 03:30:00,Universität/AStA,17
2023-01-01 03:30:00,Mobilstation Landgericht,0
2023-01-01 03:30:00,Virchowstraße/Lehrzentrum,8
2023-01-01 03:30:00,Corneliastraße,1
2023-01-01 03:30:00,Kleine Lenbachstraße,0
2023-01-01 03:30:00,Bamlerstraße U-Bahn,6
2023-01-01 03:30:00,Gußmannplatz,1
2023-01-01 03:30:00,Ruhrbahn Essen,2
2023-01-01 03:30:00,UDE / Sportcampus,4
2023-01-01 03:30:00,Schützenbahn,11
2023-01-01 03:30:00,UDE Leimkugelstrasse,5
2023-01-01 03:30:00,Michaelstraße,1
2023-01-01 03:30:00,Niederfeldsee,7
2023-01-01 03:30:00,Mobilstation Kupferdreh,1
2023-01-01 03:30:00,RUHRBAHN Betriebshof Econova-Allee 1-3 ,0
2023-01-01 03:30:00,LIDL Steeler Straße ,0
2023-01-01 03:30:00,LIDL Katzenbruchstraße,1
2023-01-01 03:30:00,Allbau GmbH,7
